Date,Open,High,Low,Close,Volume
2017-10-20 07:00:00,198.17,199.59,197.51,198.49,2357466.0
2017-10-20 08:00:00,197.12,198.77,197.06,198.1635,1709700.0
2017-10-20 09:00:00,197.828,198.18,197.02,197.12,1219481.0
2017-10-20 10:00:00,198.48,198.89,197.81,197.8101,1079061.0
2017-10-20 11:00:00,197.7999,198.65,197.75,198.5,608455.0
2017-10-20 12:00:00,197.46,198.2,197.4,197.78,761840.0
2017-10-20 13:00:00,196.9,197.6541,196.54,197.48,2114278.0
2017-10-23 07:00:00,196.549,198.11,196.29,197.78,1637357.0
2017-10-23 08:00:00,197.2,197.6,195.8,196.55,1729094.0
2017-10-23 09:00:00,197.465,197.99,197.05,197.29,980608.0
2017-10-23 10:00:00,198.68,198.68,197.365,197.5,1085372.0
2017-10-23 11:00:00,198.585,198.85,198.0,198.64,1065389.0
2017-10-23 12:00:00,197.75,198.7,197.55,198.57,784099.0
2017-10-23 13:00:00,196.62,197.752,196.01,197.752,2231850.0
2017-10-24 07:00:00,196.8199,197.4,195.94,196.99,1536972.0
2017-10-24 08:00:00,197.6971,197.87,196.64,196.74,1903542.0
2017-10-24 09:00:00,198.231,198.69,197.55,197.7066,1672715.0
2017-10-24 10:00:00,198.0,198.359,197.86,198.23,569475.0
2017-10-24 11:00:00,198.19,198.4395,197.48,197.996,1021471.0
2017-10-24 12:00:00,198.19,198.7,198.0705,198.17,685282.0
2017-10-24 13:00:00,198.68,198.75,198.05,198.21,1542986.0
2017-10-25 07:00:00,197.45,199.22,197.0,197.08,1905740.0
2017-10-25 08:00:00,197.79,198.65,196.87,197.495,2262531.0
2017-10-25 09:00:00,193.5101,197.7919,192.08,197.7919,5030462.0
2017-10-25 10:00:00,193.0061,194.091,191.17,193.51,3374740.0
2017-10-25 11:00:00,193.9204,194.894,192.95,193.04,1677495.0
2017-10-25 12:00:00,194.1901,195.55,193.65,193.938,1632911.0
2017-10-25 13:00:00,193.66,194.53,193.4,194.19,2391124.0
2017-10-26 07:00:00,195.3,195.9595,193.81,194.78,1550271.0
2017-10-26 08:00:00,195.42,196.16,193.8942,195.32,1908444.0
2017-10-26 09:00:00,194.8484,195.7,194.48,195.41,804648.0
2017-10-26 10:00:00,195.39,195.59,194.81,194.8174,568519.0
2017-10-26 11:00:00,195.461,195.79,195.12,195.414,461120.0
2017-10-26 12:00:00,195.856,195.8792,195.28,195.4738,484970.0
2017-10-26 13:00:00,195.69,195.95,195.38,195.8,1168175.0
2017-10-27 07:00:00,197.84,198.57,197.23,197.8,1662823.0
2017-10-27 08:00:00,196.77,197.94,196.77,197.83,1616604.0
2017-10-27 09:00:00,199.8,199.83,196.75,196.8,2226855.0
2017-10-27 10:00:00,199.44,200.9,199.13,199.8,2528537.0
2017-10-27 11:00:00,200.7,200.71,199.24,199.455,1073283.0
2017-10-27 12:00:00,200.45,200.7,200.12,200.6293,850974.0
2017-10-27 13:00:00,201.86,201.87,200.34,200.42,2473450.0
2017-10-30 07:00:00,205.15,205.2495,201.22,201.86,2258080.0
2017-10-30 08:00:00,204.4662,206.0899,203.75,205.17,2561654.0
2017-10-30 09:00:00,203.43,204.89,203.21,204.47,1643248.0
2017-10-30 10:00:00,204.4335,204.65,202.45,203.472,1505000.0
2017-10-30 11:00:00,203.84,204.838,203.71,204.455,679906.0
2017-10-30 12:00:00,204.22,204.88,203.818,203.818,710380.0
2017-10-30 13:00:00,203.84,204.285,203.19,204.16,1488092.0
2017-10-31 07:00:00,206.165,206.81,204.9,205.13,1891193.0
2017-10-31 08:00:00,206.8499,207.49,206.1,206.1632,1836844.0
2017-10-31 09:00:00,207.2028,207.25,206.22,206.8267,811484.0
2017-10-31 10:00:00,207.2001,207.44,206.46,207.19,692646.0
2017-10-31 11:00:00,207.44,207.89,207.05,207.2,830164.0
2017-10-31 12:00:00,206.735,207.65,206.05,207.45,939925.0
2017-10-31 13:00:00,206.81,206.93,206.05,206.735,1636833.0
2017-11-01 07:00:00,209.17,209.97,208.3,209.35,2027995.0
2017-11-01 08:00:00,208.19,209.28,207.53,209.14,1917332.0
2017-11-01 09:00:00,207.67,209.17,207.63,208.27,1209389.0
2017-11-01 10:00:00,207.371,208.349,207.28,207.7,766185.0
2017-11-01 11:00:00,206.0801,207.42,204.6,207.42,2426976.0
2017-11-01 12:00:00,207.129,207.55,205.88,206.0977,1142092.0
2017-11-01 13:00:00,207.2,207.43,206.61,207.07,1319659.0
2017-11-02 07:00:00,206.7,207.81,204.21,206.0,1483269.0
2017-11-02 08:00:00,205.1172,206.9,204.43,206.7,1593389.0
2017-11-02 09:00:00,205.27,206.56,203.65,205.12,1336525.0
2017-11-02 10:00:00,205.3884,206.23,205.08,205.29,641490.0
2017-11-02 11:00:00,205.4749,206.09,205.29,205.4,396079.0
2017-11-02 12:00:00,206.01,206.82,205.3,205.44,573015.0
2017-11-02 13:00:00,205.94,207.12,205.75,206.06,1123983.0
2017-11-03 07:00:00,205.62,207.24,205.341,207.2,1217721.0
2017-11-03 08:00:00,207.9,207.92,205.4,205.635,1637256.0
2017-11-03 09:00:00,207.725,208.24,207.441,207.9,910604.0
2017-11-03 10:00:00,207.5044,207.87,206.85,207.75,655904.0
2017-11-03 11:00:00,207.7128,208.11,207.2203,207.52,683765.0
2017-11-03 12:00:00,208.01,208.285,207.64,207.7346,843636.0
2017-11-03 13:00:00,208.69,208.69,207.58,208.032,1611584.0
2017-11-06 08:00:00,207.87,208.46,206.7,207.2,1778202.0
2017-11-06 09:00:00,209.25,209.59,207.73,207.86,1848450.0
2017-11-06 10:00:00,208.23,209.3246,208.05,209.21,899184.0
2017-11-06 11:00:00,209.18,209.25,207.69,208.27,846546.0
2017-11-06 12:00:00,209.6,209.7,209.0501,209.15,660070.0
2017-11-06 13:00:00,209.58,209.98,209.36,209.53,779361.0
2017-11-06 14:00:00,209.63,209.65,209.02,209.56,1449970.0
2017-11-07 08:00:00,211.675,212.38,210.0556,210.55,2134066.0
2017-11-07 09:00:00,212.16,212.3,210.706,211.6799,1985262.0
2017-11-07 10:00:00,211.1495,212.9,210.91,212.2,1456060.0
2017-11-07 11:00:00,211.398,211.58,210.75,211.15,901977.0
2017-11-07 12:00:00,212.06,212.15,211.27,211.37,668271.0
2017-11-07 13:00:00,211.9,212.13,211.31,212.062,547076.0
2017-11-07 14:00:00,212.03,212.12,211.07,211.92,1379436.0
2017-11-08 08:00:00,209.2,212.0,208.5,211.85,2313904.0
2017-11-08 09:00:00,210.0043,210.37,208.82,209.1,1885773.0
2017-11-08 10:00:00,207.8404,210.45,207.2401,209.98,2130398.0
2017-11-08 11:00:00,208.5657,208.81,207.8078,207.8146,1069266.0
2017-11-08 12:00:00,207.965,208.9239,207.48,208.6,1091665.0
2017-11-08 13:00:00,208.88,208.9087,207.74,207.969,818420.0
2017-11-08 14:00:00,209.16,209.85,208.58,208.8872,1935834.0
2017-11-09 08:00:00,203.69,205.6,203.0,205.27,2900824.0
2017-11-09 09:00:00,204.79,205.2,203.54,203.69,2413616.0
2017-11-09 10:00:00,203.4278,205.06,203.16,204.8055,1677313.0
2017-11-09 11:00:00,202.485,203.71,200.37,203.442,2991335.0
2017-11-09 12:00:00,202.58,203.31,201.83,202.47,1387614.0
2017-11-09 13:00:00,203.5975,204.05,202.42,202.5801,1547496.0
2017-11-09 14:00:00,205.32,206.33,203.25,203.59,4268698.0
2017-11-10 08:00:00,213.32,215.77,211.63,213.08,6594324.0
2017-11-10 09:00:00,217.5,217.75,213.221,213.24,6774124.0
2017-11-10 10:00:00,218.05,218.32,216.18,217.5,3000617.0
2017-11-10 11:00:00,216.617,218.67,216.53,218.0374,2717611.0
2017-11-10 12:00:00,217.3954,217.49,216.38,216.6488,1766896.0
2017-11-10 13:00:00,217.22,218.0,216.76,217.44,1804080.0
2017-11-10 14:00:00,216.14,217.3999,215.19,217.26,3972639.0
2017-11-13 08:00:00,214.86,217.17,214.0,216.14,2567511.0
2017-11-13 09:00:00,213.5965,215.28,212.43,214.85,2978645.0
2017-11-13 10:00:00,213.26,214.2,212.72,213.59,1612876.0
2017-11-13 11:00:00,213.1195,213.66,212.89,213.2799,960827.0
2017-11-13 12:00:00,213.02,213.36,212.5,213.11,1062400.0
2017-11-13 13:00:00,213.82,214.06,212.93,213.0262,1055612.0
2017-11-13 14:00:00,212.63,213.97,212.01,213.81,2203138.0
2017-11-14 08:00:00,213.965,214.8,212.8,213.0,1910314.0
2017-11-14 09:00:00,213.31,214.089,211.23,213.965,2655882.0
2017-11-14 10:00:00,214.6823,214.7,213.17,213.31,1273961.0
2017-11-14 11:00:00,212.615,214.73,212.47,214.687,1077434.0
2017-11-14 12:00:00,212.5,213.44,212.02,212.57,1160447.0
2017-11-14 13:00:00,213.2617,213.5716,212.39,212.49,922460.0
2017-11-14 14:00:00,214.18,214.44,213.25,213.25,2251694.0
2017-11-15 08:00:00,208.489,212.0,207.8,211.95,2483774.0
